                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8854,                 3.4579,                 1.8888,                0.24132,                0.12736,                  0.078,                0.02549,                 2.8317,                 3.0082,                 1.9043,                      0,                      0,                      0
                      2,                 2.8607,                 3.6953,                 1.8247,                0.23646,                0.14151,                0.08444,                 0.0252,                 2.8338,                 3.0186,                 1.9067,             1.9208e-05,             1.9208e-05,             1.9208e-05
                      3,                 2.8329,                 3.4085,                 1.8229,                0.24964,                0.13497,                0.07972,                0.02569,                  2.833,                 3.0128,                 1.8885,             3.6832e-05,             3.6832e-05,             3.6832e-05
                      4,                 2.8373,                 3.3684,                 1.9687,                0.20303,                0.14151,                0.08303,                0.02576,                 2.8342,                 3.0262,                 1.8911,             5.2872e-05,             5.2872e-05,             5.2872e-05
                      5,                 2.7866,                  3.279,                 2.0282,                0.21358,                0.16509,                0.08752,                0.02769,                 2.8368,                 3.0039,                 1.8875,             6.7328e-05,             6.7328e-05,             6.7328e-05
                      6,                 2.7986,                  3.329,                  1.907,                0.21856,                0.31604,                0.17464,                0.05255,                 2.7253,                 2.8196,                 1.7834,               8.02e-05,               8.02e-05,               8.02e-05
                      7,                 2.7238,                 2.6273,                 1.8072,                0.31763,                0.39151,                0.25497,                0.07845,                 2.6185,                  3.218,                 1.7269,             9.1488e-05,             9.1488e-05,             9.1488e-05
                      8,                 2.5932,                  1.807,                  1.718,                0.39021,                0.50472,                0.34486,                0.10727,                 2.5342,                 3.4971,                 1.7154,             0.00010119,             0.00010119,             0.00010119
                      9,                 2.5852,                 1.7812,                 1.8602,                0.35716,                0.58962,                0.37445,                0.11717,                 2.4911,                 2.9975,                  1.713,             0.00010931,             0.00010931,             0.00010931
                     10,                 2.5881,                 1.5792,                 1.5996,                0.43281,                 0.5566,                0.39826,                0.12348,                 2.4851,                 2.6313,                 1.7327,             0.00011585,             0.00011585,             0.00011585
                     11,                 2.5838,                 1.3906,                 1.5534,                0.42153,                0.59434,                0.42583,                  0.133,                 2.4548,                 2.8571,                 1.7334,              0.0001208,              0.0001208,              0.0001208
                     12,                 2.4612,                 1.4306,                 1.6609,                0.44004,                 0.5566,                0.43988,                0.13826,                 2.4364,                 3.3222,                 1.7295,             0.00012417,             0.00012417,             0.00012417
                     13,                 2.4257,                 1.3729,                   1.61,                0.44549,                0.60377,                0.47231,                0.14381,                 2.4375,                 3.4863,                 1.7317,             0.00012595,             0.00012595,             0.00012595
                     14,                 2.3374,                 1.3498,                 1.5933,                0.46874,                0.60347,                0.49179,                0.15043,                 2.4163,                 3.4587,                 1.7244,             0.00012615,             0.00012615,             0.00012615
                     15,                 2.3884,                 1.3612,                 1.5434,                0.52952,                0.57868,                0.54622,                 0.1729,                 2.4115,                 3.1769,                 1.7332,             0.00012477,             0.00012477,             0.00012477
                     16,                  2.352,                 1.3462,                 1.4942,                0.54248,                0.59434,                0.55932,                0.18235,                 2.4048,                 2.7493,                 1.7361,              0.0001218,              0.0001218,              0.0001218
                     17,                 2.3271,                 1.3562,                 1.4709,                0.53345,                0.56631,                0.55807,                0.18067,                 2.4067,                 2.4985,                 1.7376,             0.00011725,             0.00011725,             0.00011725
                     18,                 2.3104,                 1.3107,                 1.5017,                0.53345,                0.56631,                0.55807,                0.18067,                 2.4067,                 2.4985,                 1.7376,             0.00011111,             0.00011111,             0.00011111
                     19,                 2.3282,                 1.4174,                 1.6008,                0.48825,                0.60377,                 0.5275,                0.17439,                 2.4074,                 2.2864,                 1.7326,             0.00010339,             0.00010339,             0.00010339
                     20,                 2.3716,                 1.2939,                 1.4241,                0.48825,                0.60377,                 0.5275,                0.17439,                 2.4074,                 2.2864,                 1.7326,             9.4088e-05,             9.4088e-05,             9.4088e-05
                     21,                  2.329,                 1.3406,                 1.5579,                0.55809,                0.50039,                0.51878,                0.17373,                 2.4261,                 2.2918,                 1.7398,               8.32e-05,               8.32e-05,               8.32e-05
                     22,                 2.3103,                  1.287,                 1.4838,                0.55809,                0.50039,                0.51878,                0.17373,                 2.4261,                 2.2918,                 1.7398,             7.0728e-05,             7.0728e-05,             7.0728e-05
                     23,                 2.3564,                 1.2869,                 1.5194,                0.54906,                 0.5283,                0.51644,                0.16893,                 2.4376,                 2.2071,                 1.7432,             5.6672e-05,             5.6672e-05,             5.6672e-05
                     24,                  2.273,                  1.336,                 1.5419,                0.54906,                 0.5283,                0.51644,                0.16893,                 2.4376,                 2.2071,                 1.7432,             4.1032e-05,             4.1032e-05,             4.1032e-05
                     25,                 2.2913,                 1.3778,                 1.6424,                0.54973,                0.52982,                0.51263,                 0.1684,                 2.4476,                 2.1325,                 1.7427,             2.3808e-05,             2.3808e-05,             2.3808e-05
